Symbol,Name,Sector,Industry,Market Cap,Enterprise Value,PE Ratio (Forward),EV to EBITDA (Forward),PS Ratio (Forward),Price to Book Value
ALGT,Allegiant Travel,Industrials,Airlines,3326.7232,3636.9452,15.5861,7.7248,2.6298,9.9579
ALIM,Alimera Sciences,Healthcare,Drug Manufacturers - Major,143.4368,207.3398,None,1.8188,6.0015,None
ALJ,Alon USA Energy,Energy,Oil & Gas Refining & Marketing,1231.1647,1588.9897,12.0211,4.2446,0.2869,1.7486
ALOG,Analogic,Healthcare,Diagnostics & Research,1003.7112,879.9112,18.6682,None,1.5085,1.8888
ALRM,Alarm.com Holdings,Technology,Software - Application,813.4995,693.5985,None,None,None,4.9064
ALX,Alexander's,Real Estate,REIT - Retail,2016.9490,2783.3720,None,None,None,5.8441
AMAG,AMAG Pharmaceuticals,Healthcare,Biotechnology,921.3885,1483.6765,16.5246,6.9331,2.2281,1.0016
AMBA,Ambarella,Technology,Semiconductor Equipment & Materials,1851.2713,1611.5173,24.0617,14.3873,5.6594,6.2506
AMBC,Ambac Financial Group,Financial Services,Insurance - Specialty,674.8573,14471.0223,None,None,None,0.4980
AMBR,Amber Road,Technology,Software - Application,96.8824,94.9944,None,-7.8400,1.4088,1.9260
AMC,AMC Entertainment Hldgs,Consumer Cyclical,Media - Diversified,2488.6339,4155.4939,23.8228,7.7043,0.8371,1.6438
AMCC,Applied Micro Circuits,Technology,Semiconductors,607.1864,531.6864,None,-86.8769,3.7945,5.1046
AMD,Advanced Micro Devices,Technology,Semiconductors,1754.2205,3259.2205,None,12.3236,0.4398,None
AMED,Amedisys,Healthcare,Medical Care,1401.5539,1345.3459,29.0909,12.2531,1.1092,3.5651
AMKR,Amkor Technology,Technology,Semiconductors,1481.1470,2508.0430,18.9091,3.7601,0.5101,1.2484
AMNB,American National,Financial Services,Banks - Regional - US,219.8066,191.4386,15.1488,None,3.5744,1.1189
AMOT,Allied Motion,Technology,Electronic Components,192.6522,245.4672,None,None,None,3.0136
AMPH,Amphastar Pharmaceuticals,Healthcare,Drug Manufacturers - Specialty & Generic,643.7788,619.2138,None,157.1609,2.6962,2.2685
AMRC,Ameresco,Industrials,Engineering & Construction,311.2048,385.5798,47.7857,8.8032,0.4908,1.0835
AMRI,Albany Molecular Research,Healthcare,Biotechnology,695.8353,975.8753,108.8889,12.5112,1.6891,2.4099
AMSF,AMERISAFE,Financial Services,Insurance - Property & Casualty,1030.3014,923.3454,15.3952,None,2.5968,2.1002
AMSG,Amsurg,Healthcare,Medical Care,4023.7281,6720.6901,23.6676,13.7739,1.5882,2.4913
AMSWA,American Software,Technology,Software - Application,295.4915,229.8995,29.4857,10.4628,2.5351,3.1670
AMTG,Apollo Residential,Real Estate,REIT - Residential,406.9312,326.3912,6.0566,None,3.1778,0.5694
AMWD,American Woodmark,Consumer Cyclical,Home Furnishings & Fixtures,1058.4933,890.5213,23.4209,9.9289,1.1620,4.2465
ANAC,Anacor Pharmaceuticals,Healthcare,Biotechnology,4667.4367,4579.5667,None,None,52.1968,83.6878
ANCX,Access National,Financial Services,Banks - Regional - US,226.9090,251.7420,14.9444,None,3.4713,2.1083
ANDE,Andersons,Consumer Defensive,Food Distribution,926.2400,1428.8590,18.1012,7.7994,0.2154,1.1878
ANF,Abercrombie & Fitch,Consumer Cyclical,Apparel Stores,1681.0962,1566.0582,31.4330,4.8962,0.4817,1.3087
ANGI,Angie's List,Technology,Internet Content & Information,614.4254,615.2564,52.1610,20.8930,1.7781,None
ANGO,AngioDynamics,Healthcare,Medical Instruments & Supplies,412.1431,526.5931,18.1760,9.4990,1.1330,0.7533
ANH,Anworth Mortgage Asset,Real Estate,REIT - Diversified,477.5018,568.5168,8.4425,None,4.4710,0.7481
ANIK,Anika Therapeutics,Healthcare,Biotechnology,605.4153,474.9389,21.9219,None,6.6586,3.0308
ANIP,ANI Pharmaceuticals,Healthcare,Biotechnology,487.2592,451.5392,20.5680,10.1015,6.3350,3.1256
ANTH,Anthera Pharmaceuticals,Healthcare,Biotechnology,210.9409,155.1789,None,None,187.8369,4.6555
AOSL,Alpha & Omega,Technology,Semiconductors,213.5650,140.6970,None,6.6999,0.6678,0.8902
APEI,American Public Education,Consumer Defensive,Education & Training Services,364.8531,251.0241,12.0916,3.5896,1.1122,1.5358
APIC,Apigee,Technology,Software - Application,209.2995,123.6035,None,None,2.3375,2.6194
APOG,Apogee Enterprises,Basic Materials,Building Materials,1520.5082,1449.6712,24.0876,11.3344,1.5130,3.7857
APOL,Apollo Education Group,Consumer Defensive,Education & Training Services,820.6221,168.3871,12.8851,0.7083,0.3811,0.7170
APPF,AppFolio,Technology,Software - Application,529.4213,489.5123,None,None,None,6.9363
APPS,Digital Turbine,Technology,Software - Application,98.4477,104.5917,None,-63.1974,0.9499,1.2540
APTS,Preferred Apartment,Real Estate,REIT - Residential,239.7892,865.9448,9.2951,None,2.2356,0.5433
ARAY,Accuray,Healthcare,Medical Devices,543.1160,594.7920,None,49.5660,1.3437,8.4690
